Source,Plx,Gmag,BPmag,RPmag
5221130367218160896,5.0,18.090275,19.544905,16.881676
5596141970643497600,5.0,20.371635,21.154099,19.16981
5278258311353139072,5.0,20.863163,21.05887,19.948542
5913864100508841472,5.0,20.46953,21.091316,19.58692
4399080052035166976,5.0,20.334688,21.435623,18.941055
6028625351895783040,5.0,19.747757,20.183348,18.699648
5693377968637094144,5.0,20.875381,21.204,19.539864
5933441764027151360,5.0,20.760393,21.831322,19.708065
2992270970293363456,5.0,18.044003,19.745115,16.79524
2077111265998413696,5.0,17.567287,19.256605,16.321112
4048958754828685824,5.0,18.919071,18.846802,17.64363
4119786545163961472,5.0,18.61071,19.20964,17.419865
4076396586428330240,5.0,19.723219,19.948881,18.161232
4056592835904703488,5.0,19.485512,20.35186,17.903122
4043142200916028288,5.0001,19.778606,,
5862789105359136256,5.0001,20.79956,21.876028,19.514002
4333074346089858816,5.0001,20.149876,,
2519287288799334144,5.0001,16.340319,17.730253,15.169901
4108166322082185344,5.0001,20.52738,20.98469,19.008001
5002883085835460480,5.0001,20.744596,20.857689,20.20898
2973786397420651392,5.0001,17.74192,19.568981,16.467365
6743383943631297280,5.0001,14.682562,15.661667,13.704033
4114198792597453696,5.0001,19.769001,20.81454,18.785383
5978402821728808064,5.0001,20.054165,20.82823,19.30993
1106954913478668160,5.0001,17.235533,18.940758,15.987555
492251841091748864,5.0001,20.666927,21.333183,19.260788
4387907712524640256,5.0001,16.64822,18.084768,15.487193
5379844015992479488,5.0001,18.563745,18.620703,18.483397
457712607445425152,5.0001,16.737488,,
4039801364947991680,5.0001,18.212275,18.229406,16.840567
1714868707719898112,5.0001,17.99252,18.500076,16.779087
5858705313049305984,5.0001,19.848562,18.151463,17.159061
5954855886871691776,5.0001,20.58031,21.08722,19.816177
5558990022485160192,5.0001,13.390881,14.063393,12.605371
4043761913142138752,5.0001,19.42523,19.35852,17.43184
132891991855478272,5.0001,18.563017,20.275682,17.27741
3922816351261252224,5.0001,18.909159,20.763039,17.574444
235317173635979776,5.0001,13.914052,14.829907,12.907472
1853937171782729472,5.0001,20.89042,21.532608,19.814377
4053921915961240960,5.0001,20.7439,21.544544,20.505476
4039902416944364800,5.0001,20.163515,20.452093,19.350653
1646663935568829312,5.0001,18.634537,20.458477,17.352732
4909120853092279424,5.0001,19.350103,21.30055,18.03045
555963866993768320,5.0001,13.776969,14.645577,12.835117
3780191280613582592,5.0001,20.691603,21.134787,19.316431
1301740884463007360,5.0001,19.452993,21.404587,18.115005
3947590925215161472,5.0001,18.566458,20.374222,17.266897
3136240030699919744,5.0001,15.473359,16.712845,14.28903
5834242828640831232,5.0001,17.14456,17.66769,15.964296
1847252823987973248,5.0001,20.523796,21.176292,19.054853
1822517596240077184,5.0001,20.35779,,
4846132168399546624,5.0001,19.414152,21.181,18.074211
4322257591259048704,5.0001,20.832218,21.368744,19.022875
674871544115979904,5.0001,16.268824,17.54422,15.15458
2008598016408588800,5.0001,20.181675,20.825838,18.545982
6185723981166155136,5.0001,16.04662,17.184347,14.985978
4149392957212273792,5.0001,20.537323,,
3020328930784435328,5.0001,9.996209,10.270034,9.561017
2019081584901438208,5.0001,20.465002,20.759869,18.901537
5044011898821042688,5.0001,15.836985,16.991959,14.765691
1060853662232739584,5.0001,15.510551,16.607765,14.467168
6054750778848056448,5.0001,19.780993,20.397457,18.53347
4104615414891605888,5.0001,19.763372,20.09998,18.509884
1276711262468277632,5.0001,20.023602,19.90765,19.228575
5516919649593521792,5.0001,20.575882,,
5593593199603961984,5.0001,20.80714,,
6774842556144106624,5.0001,17.057465,18.501736,15.9007
5968036385601215360,5.0001,19.864632,21.05678,18.320745
6613737920551723392,5.0001,20.420658,21.467638,19.046263
214897279906340608,5.0001,11.719376,12.079472,11.191574
2522093856653439104,5.0001,20.633718,20.77291,19.322638
3355976707957695744,5.0001,12.240117,12.748158,11.570834
6160111441912289280,5.0001,12.322687,12.780785,11.702258
37345157252751872,5.0001,17.830095,19.50647,16.597036
5834184004688125312,5.0001,20.672714,20.288887,18.739864
6491936908646051456,5.0001,16.369051,17.799047,15.198376
351039638587793536,5.0001,20.654993,22.047438,19.634298
5619256453835068928,5.0001,14.570629,15.560783,13.58272
4521104647058119808,5.0001,20.827356,21.409391,18.922503
4509412058152662272,5.0001,17.271423,18.899454,16.048525
4144535658510691840,5.0001,20.329355,20.721064,19.024569
4121167664825461504,5.0001,20.053959,20.298672,18.695976
2006930813176620672,5.0001,20.716972,21.430782,19.648388
4516400279183630208,5.0001,19.67688,20.451864,18.356543
4319660991449871616,5.0001,20.658175,21.181343,18.766657
6242466722556172160,5.0001,20.640923,21.798338,19.474306
4170216951528737280,5.0001,20.750973,21.290417,19.687086
4332611653557504000,5.0001,15.888465,16.40056,14.699685
2172743003506823168,5.0001,20.361265,21.545351,18.91202
5852345394158687360,5.0001,20.49509,,
4066242940138906880,5.0001,20.18947,20.55242,18.844948
5747973050274143488,5.0001,20.459307,21.347654,19.196432
5333657552623000960,5.0001,15.464885,16.866922,14.301955
1824864881776097152,5.0001,20.491024,20.888243,19.071762
5852983488907917824,5.0001,20.833485,21.415323,19.867636
4514656561133184256,5.0001,20.908138,21.151773,19.588266
4044072624083675520,5.0001,18.354698,19.590357,17.156803
